Year,NOC,Comes_from_City,Avg_Age,Avg_Height,Avg_Weight,Total_Medal_Score,Number_of_Athelete,Sport_type_Both,Sport_type_Individual,Sport_type_Team,Sex_F,Sex_M
1952,CUB,0,25.470588235294116,173.1764705882353,74.11764705882354,0,17,0,17,0,0,17
1952,DEN,0,29.09090909090909,177.8181818181818,73.72727272727273,4,11,0,10,1,1,10
1952,ESP,0,33.8,173.6,76.4,2,5,0,5,0,0,5
1952,FIN,275,25.637770897832816,173.8204334365325,68.171826625387,82,323,82,204,37,77,246
1952,FRA,0,25.207920792079207,176.21782178217822,72.04950495049505,45,101,8,78,15,13,88
1952,GBR,0,23.59259259259259,170.2037037037037,64.4074074074074,9,108,37,69,2,44,64
1952,GER,0,26.070422535211268,172.3943661971831,68.2394366197183,24,71,7,58,6,22,49
1952,GRE,0,24.53846153846154,180.76923076923077,73.3076923076923,0,13,0,12,1,0,13
1952,GUA,0,28.0,167.0,76.0,0,2,0,2,0,0,2
1952,HKG,0,20.0,179.0,68.0,0,3,0,0,3,0,3
1952,HUN,0,26.26923076923077,175.60256410256412,71.41025641025641,66,78,7,52,19,13,65
1952,IND,0,23.666666666666668,170.0,59.666666666666664,8,3,0,0,3,0,3
1952,IRI,0,21.5,172.5,72.0,2,2,0,2,0,0,2
1952,IRL,0,29.25,178.25,71.91666666666667,0,12,0,12,0,0,12
1952,ISL,0,25.714285714285715,179.28571428571428,72.42857142857143,0,7,0,7,0,0,7
1952,ITA,0,25.05,173.51666666666668,72.06666666666666,27,60,7,41,12,13,47
1952,JAM,0,29.0,182.1,69.3,26,10,0,10,0,0,10
1952,JPN,0,24.40909090909091,166.27272727272728,61.10606060606061,7,66,16,46,4,2,64
1952,KOR,0,23.0,164.0,58.0,0,1,0,1,0,0,1
1952,LUX,0,23.098039215686274,173.64705882352942,70.66666666666667,4,51,32,16,3,0,51
1952,MEX,0,26.642857142857142,174.21428571428572,69.82142857142857,0,14,0,11,3,0,14
1952,MON,0,30.0,174.5,79.5,0,2,0,2,0,0,2
1952,MYA,0,24.0,162.5,59.0,0,2,0,2,0,0,2
1952,NED,0,25.5,175.0,68.0,2,12,0,12,0,8,4
1952,NOR,4,28.96551724137931,177.31034482758622,72.75862068965517,8,29,5,24,0,5,24
1952,NZL,0,23.5,179.75,69.0,5,4,0,4,0,3,1
1952,PAK,0,23.75,180.5,74.5,0,4,0,1,3,0,4
1952,PHI,0,37.0,171.25,59.5,0,4,0,4,0,0,4
1952,POL,0,25.251121076233183,168.4394618834081,64.24663677130044,7,223,113,78,32,66,157
1952,POR,0,30.0,171.45454545454547,70.95454545454545,0,22,5,17,0,5,17
1952,PUR,0,29.0,177.0,69.25,0,4,0,4,0,0,4
1952,ROU,0,23.130434782608695,171.69565217391303,68.6086956521739,4,23,8,10,5,1,22
1952,RSA,0,25.166666666666668,178.5,73.16666666666667,2,6,0,4,2,2,4
1952,SAA,0,21.666666666666668,159.66666666666666,55.0,0,3,0,3,0,3,0
1952,SUI,0,26.74468085106383,172.46808510638297,69.72340425531915,14,47,16,27,4,1,46
1952,SWE,0,25.985915492957748,177.3943661971831,71.73239436619718,30,71,16,53,2,5,66
1952,TCH,0,23.614035087719298,170.6315789473684,69.87719298245614,28,57,22,30,5,17,40
1952,TUR,0,24.77777777777778,175.66666666666666,77.33333333333333,0,9,0,6,3,0,9
1952,URS,0,25.88659793814433,176.29896907216494,74.76804123711341,52,97,0,90,7,22,75
1952,URU,0,20.5,176.25,77.25,2,4,0,2,2,1,3
1952,USA,0,24.34285714285714,179.63809523809525,75.4952380952381,258,210,16,160,34,34,176
1952,VEN,0,26.0,176.125,68.25,1,8,0,8,0,0,8
1952,YUG,0,23.256410256410255,172.74358974358975,69.35897435897436,6,39,15,21,3,9,30
1956,ARG,0,28.41176470588235,173.8235294117647,77.17647058823529,2,17,0,17,0,1,16
1956,AUS,117,23.91269841269841,176.47619047619048,70.40873015873017,88,126,8,88,30,22,104
1956,AUT,0,26.151515151515152,173.06060606060606,70.84848484848484,5,33,0,29,4,5,28
1956,BAH,0,28.8,181.6,85.8,2,5,0,5,0,0,5
1956,BEL,0,26.75,175.86111111111111,71.26388888888889,4,36,0,28,8,2,34
1956,BER,0,51.0,169.0,74.0,0,1,0,1,0,0,1
1956,BOL,0,20.0,170.0,63.0,0,2,0,2,0,0,2
